Radio Frequency,Azimuth,Angle Of Elevation,Ground_Truth,Predicted_Cluster
5400,1.85258553,1.462401268,Emitter_3,Emitter_3
5403.376784,1.820455487,1.437118393,Emitter_3,Emitter_3
5401.470522,1.604163543,0.994852023,Noise,Noise
5400,2,1.746854014,Emitter_3,Emitter_3
5400.824143,0.364008945,1.56927271,Noise,Noise
5400.320974,1.891461799,1.912631463,Emitter_3,Emitter_3
5400,0.553146881,0.611934776,Emitter_2,Emitter_2
5400,0,0.628146871,Emitter_2,Emitter_2
5400,0,0,Emitter_1,Emitter_2
5407.409948,1.831916276,1.9089803,Emitter_3,Emitter_3
5408.212526,0.168698738,0.343138415,Emitter_2,Emitter_2
5405.429253,0.2767774,0.381544634,Emitter_2,Emitter_2
5400,0,0.179503843,Emitter_2,Emitter_2
5410,1.864830311,1.536300492,Emitter_3,Emitter_3
5400,2,1.950152138,Emitter_3,Emitter_3
5408.777078,2,1.907033108,Emitter_3,Emitter_3
5400,1.762020098,1.627691535,Emitter_3,Emitter_3
5407.336556,1.830734285,1.778283106,Noise,Emitter_3
5407.001248,-0.137948223,0.520080175,Emitter_2,Noise
5404.682072,0.14339323,0.450311017,Emitter_2,Emitter_2
5410,1.966592572,1.771892967,Emitter_3,Emitter_3
5406.051315,1.654592524,2,Emitter_3,Emitter_3
5400,0.493643009,0.80457926,Emitter_2,Emitter_2
5400,0.177313386,0.255521907,Emitter_2,Emitter_2
5410,0.258651757,0.452098119,Emitter_2,Emitter_2
5410,1.470953377,1.740656627,Emitter_3,Emitter_3
5400,0,0,Emitter_1,Emitter_2
5405.602846,0.034840038,1.485266128,Noise,Noise
5400,0,0.020622446,Emitter_1,Emitter_2
5400.889875,1.924546816,1.927161244,Emitter_3,Emitter_3
5400,0.273371458,0.805061713,Emitter_2,Emitter_2
5410,1.746159806,1.858155718,Emitter_3,Emitter_3
5406.885971,0.272851005,0.500477797,Emitter_2,Emitter_2
5401.384345,0.580763397,1.907894609,Noise,Noise
5400,0,0.32678792,Emitter_1,Emitter_2
5400,0.243829005,0.573297455,Emitter_2,Emitter_2
5410,0.489745927,0.630147905,Emitter_2,Emitter_2
5400,0.422194487,0.844232566,Emitter_2,Emitter_2
5400,0.058348514,0,Emitter_1,Emitter_2
5407.31442,1.905875444,1.640431398,Emitter_3,Emitter_3
5405.40188,1.584722774,1.606801592,Emitter_3,Emitter_3
5402.3335,1.438397292,0.653663964,Noise,Noise
5400,0.512331856,0.193428875,Emitter_2,Emitter_2
5402.063626,0.312849712,0.142476293,Emitter_1,Emitter_2
5400,0.297948657,0.716336691,Emitter_2,Emitter_2
5409.673301,0.697893652,1.299663815,Noise,Noise
5400,1.837574184,1.950270955,Emitter_3,Emitter_3
5408.336903,0.136160987,0.674989502,Noise,Emitter_2
5410,0.605983297,0.57022946,Emitter_2,Emitter_2
5400,0.254418707,0.493785654,Emitter_2,Emitter_2
5400,0.533867649,0.623285187,Emitter_2,Emitter_2
5402.117382,0.186569413,0.85415375,Emitter_2,Emitter_2
5405.784308,0.898661181,0.858367262,Noise,Noise
5401.527754,0.163129886,0.214658747,Emitter_2,Emitter_2
5400.521091,0.35265185,1.848739173,Noise,Noise
5400,1.86687968,1.888407235,Emitter_3,Emitter_3
5400.080752,0.548438714,0.395690284,Emitter_2,Emitter_2
5403.674127,2,1.89111266,Emitter_3,Emitter_3
5400,0.674991669,0.450140086,Emitter_2,Emitter_2
5408.467787,0.3422336,0.440503713,Emitter_2,Emitter_2
5410,0,0.027336343,Emitter_1,Emitter_2
5409.789001,0.042207265,0.032476764,Emitter_1,Emitter_2
5400,1.912840818,2,Emitter_3,Emitter_3
5401.739796,1.987395451,1.56731671,Emitter_3,Emitter_3
5400,0,0.148517118,Emitter_1,Emitter_2
5408.08512,2,1.767158601,Emitter_3,Emitter_3
5400,1.663459553,1.713417075,Emitter_3,Emitter_3
5403.462673,0.798523479,0.328738355,Noise,Noise
5410,0.017241076,0.166961881,Emitter_2,Emitter_2
5410,0.095570872,0.494708691,Emitter_2,Emitter_2
5406.826818,0.412199592,0.529392404,Emitter_2,Emitter_2
5400,0.553924932,0.603495733,Emitter_2,Emitter_2
5406.342428,1.561277574,1.783326424,Emitter_3,Emitter_3
5408.808101,0.163167972,0.188514352,Emitter_2,Emitter_2
5407.860506,2,1.884665434,Emitter_3,Emitter_3
5400,1.332653335,1.737816579,Emitter_3,Emitter_3
5404.320755,1.960568089,1.982480472,Emitter_3,Emitter_3
5401.96123,1.579186133,1.809732715,Emitter_3,Emitter_3
5410,0.387385833,0.429585141,Emitter_2,Emitter_2
5400,1.728770759,1.929722071,Emitter_3,Emitter_3
5403.292327,1.994590379,1.365012356,Emitter_3,Emitter_3
5400,1.642986281,1.81165086,Emitter_3,Emitter_3
5400,1.651600555,2,Emitter_3,Emitter_3
5401.709304,1.59876719,2,Emitter_3,Emitter_3
5410,1.745093235,1.951833104,Emitter_3,Emitter_3
5410,0.137624352,0.021232597,Emitter_1,Emitter_2
5410,0.053554963,0.588785397,Emitter_2,Emitter_2
5400,1.609384271,1.458191269,Emitter_3,Emitter_3
5400,1.858188985,1.760717016,Emitter_3,Emitter_3
5403.870922,0.742301131,0.481459612,Emitter_2,Emitter_2
5400.36006,1.721975451,1.836715794,Emitter_3,Emitter_3
5409.728705,1.941259739,1.848185668,Noise,Emitter_3
5406.733313,1.382707918,1.875831385,Emitter_3,Emitter_3
5400.203756,1.920029329,0.120859749,Noise,Noise
5404.705854,1.700792778,1.727697568,Emitter_3,Emitter_3
5404.499661,0.190708546,0.261719406,Emitter_2,Emitter_2
5410,1.739652018,1.661386673,Emitter_3,Emitter_3
5404.148963,0.312937259,0.209343403,Emitter_1,Emitter_2
5402.896889,0.050231628,0.036567767,Emitter_1,Emitter_2
5400,1.78169682,1.673654378,Emitter_3,Emitter_3
5407.071147,0.055195295,0,Emitter_1,Emitter_2
5410,0.522494685,0.343171529,Emitter_2,Emitter_2
5410,0.271469535,0.734102293,Emitter_2,Emitter_2
5406.714606,0.348538644,1.45479957,Noise,Noise
5410,0.435968214,0.261060533,Emitter_2,Emitter_2
