TOA_ns,Freq_MHz,PW_ns,Az_deg,El_deg,Ground_Truth,Predicted_Cluster
5405.095332,116.1245004,1.786884496,8.966379075,1.641547149,Emitter_1,Emitter_1
5410,154.2824537,0,14.72179245,0.156160202,Emitter_2,Emitter_2
5400,146.0756929,1.384526209,8.969421187,1.951950486,Emitter_1,Emitter_1
5402.385613,897.4022194,0.694084802,20.67857054,1.113964318,Noise,Noise
5405.186936,596.4994138,0.053895535,23.33110683,1.138421489,Noise,Noise
5400,179.3268201,1.628888719,9.142514932,1.836610444,Emitter_1,Emitter_1
5407.869554,165.9481467,0.150632627,17.59113496,0.38232362,Emitter_2,Emitter_2
5400.284297,177.4220257,0.329353933,20.15493024,0.455537553,Emitter_2,Emitter_2
5410,110.6686368,1.660577643,13.17172714,1.599381784,Emitter_1,Emitter_1
5400,108.4427034,1.975181636,12.13081839,1.612701291,Emitter_1,Emitter_1
5400,106.6172963,1.713442378,17.20441859,1.776018009,Emitter_1,Emitter_1
5401.147617,127.3866182,1.837222452,7,1.710561726,Emitter_1,Emitter_1
5400,126.4417916,1.388626312,12.352346,1.968725658,Emitter_1,Emitter_1
5410,160.3991143,1.668820443,10.08159907,1.808709177,Emitter_1,Emitter_1
5410,158.5287289,1.734682594,7,1.726980528,Emitter_1,Emitter_1
5400,166.9796268,1.866192953,12.08888057,2,Emitter_1,Emitter_1
5402.763556,439.0960487,1.152843796,32.77997567,1.718215585,Noise,Noise
5400.070211,131.3850014,1.817968816,21.6170054,1.846701121,Emitter_1,Emitter_1
5407.716644,107.3484785,1.750142603,13.73653749,1.692991359,Emitter_1,Emitter_1
5400,118.6198231,1.851349229,15.72993153,1.723487972,Emitter_1,Emitter_1
5400,121.7078829,1.533227572,11.06979765,2,Emitter_1,Emitter_1
5409.282771,108.6770868,1.859871275,9.34563938,1.863617989,Emitter_1,Emitter_1
5400,109.4208387,2,13.38002193,1.409431117,Emitter_1,Emitter_1
5400,128.8902946,1.832309814,7.048472569,1.736816577,Emitter_1,Emitter_1
5400,100,1.733024463,16.28293254,1.819576592,Emitter_1,Emitter_1
5409.203635,1090.379002,1.657045187,50.87256936,1.258032102,Noise,Emitter_3
5400,106.873079,1.853663314,8.674554879,1.759885827,Emitter_1,Emitter_1
5400,100,1.989122451,12.7080595,2,Emitter_1,Emitter_1
5406.3086,170.0973165,1.576224398,4.250606876,1.806542277,Emitter_1,Emitter_1
5410,101.1971436,2,15.24212288,2,Emitter_1,Emitter_1
5402.959395,160.359866,0.50404175,9.525327475,0,Emitter_2,Emitter_2
5400,166.9137174,1.843984298,9.859317592,1.600919182,Emitter_1,Emitter_1
5404.979348,120.071598,1.874902722,18.68118752,1.497971667,Emitter_1,Emitter_1
5410,128.5093804,1.854244657,13.89105071,1.702628896,Emitter_1,Emitter_1
5405.007544,836.703619,1.536563909,19.88698716,1.119094948,Noise,Noise
5402.309344,430.2412219,0.666697657,8.535500784,0.494554765,Noise,Emitter_2
5400,103.3203877,1.863550815,12.65544028,1.86733032,Emitter_1,Emitter_1
5400.89184,115.1662749,1.70403105,11.06180722,1.680171034,Emitter_1,Emitter_1
5400,122.685274,1.393914587,8.386459066,1.919034954,Emitter_1,Emitter_1
5409.252845,494.6254388,1.48471807,39.4877081,1.964994547,Noise,Noise
5402.71606,100,2,7.475023726,1.393255502,Emitter_1,Emitter_1
5404.547186,147.1415522,0,13.59007524,0,Emitter_2,Emitter_2
5401.909851,975.5237604,1.855667559,31.97116204,1.250236743,Noise,Noise
5400,159.8988229,1.501139266,15.95068873,2,Emitter_1,Emitter_1
5408.540989,524.8545677,0.958547216,15.3462215,1.101054927,Noise,Noise
5408.07663,937.6797049,1.007443763,30.61644413,0.997769615,Noise,Emitter_3
5400,121.0632675,1.661316358,9.662876847,1.762543478,Emitter_1,Emitter_1
5400,135.3892606,0.384876665,17.99414418,0,Emitter_2,Emitter_2
5400,145.5362177,2,23.05771565,1.707240546,Emitter_1,Emitter_1
5410,167.5164429,1.492656836,15.50430799,1.648310751,Emitter_1,Emitter_1
5400,174.1847096,1.679994787,15.63171447,1.984988136,Emitter_1,Emitter_1
5401.958046,141.7900432,0.450391237,12.38399693,0,Emitter_2,Emitter_2
5403.228417,166.9426123,0.63744062,18.20814062,0,Emitter_2,Emitter_2
5400,120.5464344,1.746920848,7.644125133,1.89003629,Emitter_1,Emitter_1
5400.191162,1099.048889,0.805226946,34.9646464,0.603955584,Noise,Emitter_3
5407.684541,127.669557,1.78935099,9.469195838,2,Emitter_1,Emitter_1
5410,144.4104936,1.83647062,17.01051476,1.847038962,Emitter_1,Emitter_1
5400,177.8940904,0.377951982,19.54453218,0,Emitter_2,Emitter_2
5400,115.5836942,2,13.33609278,1.602413591,Emitter_1,Emitter_1
5401.54045,334.3312374,1.200794549,12.22803782,0.893436474,Noise,Emitter_1
5400,140.8345357,2,18.54456146,1.379005472,Emitter_1,Emitter_1
5402.09232,131.4461667,2,10.63957352,1.987943805,Emitter_1,Emitter_1
5410,144.8103181,1.674025246,19.72189706,1.718968366,Emitter_1,Emitter_1
5405.582849,118.1194944,2,13.53090688,1.72109714,Emitter_1,Emitter_1
5404.302245,100,1.924210867,13.60343259,1.783349695,Emitter_1,Emitter_1
5401.674792,235.716907,0.426436832,14.81084893,0.450950195,Noise,Emitter_2
5401.36701,113.3415966,1.801507745,7.140988335,1.695125311,Emitter_1,Emitter_1
5410,116.5737938,2,9.68475477,1.6060036,Emitter_1,Emitter_1
5409.828344,1014.771251,1.103426306,19.63445855,0.433492925,Noise,Noise
5409.192026,152.3472918,1.822216175,21.37653249,1.661946033,Emitter_1,Emitter_1
5402.838425,135.2309192,1.861590751,7,2,Emitter_1,Emitter_1
5410,137.0828876,1.646591717,7,1.61314141,Emitter_1,Emitter_1
5407.786226,131.939735,1.707441439,16.02815772,1.977206386,Emitter_1,Emitter_1
5410.770448,170.254234,0.035817852,17.0798996,-0.036757318,Emitter_2,Emitter_2
5403.000196,473.764632,1.263868871,23.86854506,0.765990106,Noise,Noise
5400,137.2735254,2,9.169236017,1.810594071,Emitter_1,Emitter_1
5400,157.2252749,1.426894952,9.556146912,1.742063391,Emitter_1,Emitter_1
5400,157.0842075,0.624767212,15.12108068,0,Emitter_2,Emitter_2
5403.647993,171.3410622,0.066009746,27.44870664,0.244568391,Emitter_2,Emitter_2
5410,122.442114,1.721456431,14.35655481,1.982675038,Emitter_1,Emitter_1
5400,125.3158923,2,12.1134638,1.85529125,Emitter_1,Emitter_1
5400.937976,102.3381532,1.917473649,13.79791121,1.617291181,Emitter_1,Emitter_1
5405.182482,148.444163,1.828931516,13.25371979,1.958834219,Emitter_1,Emitter_1
5407.354162,146.5132151,1.909709832,9.769709195,2,Emitter_1,Emitter_1
5400,133.0816447,0.563888065,21.57997778,0,Emitter_2,Emitter_2
5408.703319,147.9349292,1.717357767,10.94653196,1.691473539,Emitter_1,Emitter_1
5400,105.4599114,1.510792654,7,1.493029121,Emitter_1,Emitter_1
5400.139872,116.5846477,1.829532001,7,1.939280872,Emitter_1,Emitter_1
5400.861587,985.5375614,0.459896114,49.01694017,1.906788675,Noise,Noise
5400,172.7111052,0.49652178,7,0.034428461,Emitter_2,Emitter_2
5410,129.1990095,2,24.321657,1.857410077,Emitter_1,Emitter_1
5400,100,1.592924581,16.72624981,1.844053148,Emitter_1,Emitter_1
5410,125.2016151,1.606011901,10.54195727,1.7793818,Emitter_1,Emitter_1
5400,100,1.653840847,7.949561478,1.753315182,Emitter_1,Emitter_1
5400,116.4693806,1.7767048,9.529998584,1.83652098,Emitter_1,Emitter_1
5410,159.4140493,0.195275443,12.65062872,0,Emitter_2,Emitter_2
5400,172.0911522,1.895210352,17.61783992,1.926305243,Emitter_1,Emitter_1
5410,138.0504097,1.601816508,20.97625161,1.632082535,Emitter_1,Emitter_1
5403.64262,479.7481248,1.820825847,36.45824584,0.80804476,Noise,Noise
5400,161.2992249,1.538484496,11.92212315,1.565988553,Emitter_1,Emitter_1
5410,146.7268294,0.28993114,13.62553797,0,Emitter_2,Emitter_2
5400,100,1.814442805,7,1.613897405,Emitter_1,Emitter_1
5410,118.9254321,1.70028057,9.97383634,1.74336693,Emitter_1,Emitter_1
5405.531613,151.3391437,1.369218251,15.42949027,1.479840396,Emitter_1,Emitter_1
5400,172.4393885,0.21200632,7.053685694,0,Emitter_2,Emitter_2
5400,131.5296459,1.710256466,9.043328764,1.751496399,Emitter_1,Emitter_1
5400,197.2591848,0,13.90215104,0.259067748,Emitter_2,Emitter_2
5403.899034,615.0755979,0.473247067,47.90138488,0.261202216,Noise,Emitter_3
5399.407698,142.354294,0.513105532,12.10942352,-0.157696496,Emitter_2,Emitter_2
5400,100,1.948561278,7,1.986313014,Emitter_1,Emitter_1
5401.092581,813.6746087,1.947472384,46.3725639,0.244936167,Noise,Emitter_3
5406.923145,135.0848937,2,19.79392721,1.927352872,Emitter_1,Emitter_1
5401.383807,123.5413496,1.829924562,23.374155,1.399632674,Emitter_1,Emitter_1
5400,186.8595854,0.246639019,15.78810553,0,Emitter_2,Emitter_2
5400,187.9255155,0,15.45035087,0,Emitter_2,Emitter_2
5410.346332,128.0977491,2.072085836,11.66589565,2.156649547,Emitter_1,Emitter_1
5400,108.1674303,1.866062951,11.54672345,2,Emitter_1,Emitter_1
5406.191651,110.8410139,1.814093247,10.46628853,1.881329929,Emitter_1,Emitter_1
5410,158.2097059,1.784197552,10.82564132,1.997483034,Emitter_1,Emitter_1
5410,106.3088696,1.773076374,14.07120915,1.876876395,Emitter_1,Emitter_1
5410,127.7356884,2,16.10156263,1.569659768,Emitter_1,Emitter_1
5404.143946,705.4254543,1.328409636,28.43114158,1.640908042,Noise,Noise
5400,136.6982643,1.815381094,19.57638981,1.520344031,Emitter_1,Emitter_1
5410,138.5520614,1.554906775,7,1.927926531,Emitter_1,Emitter_1
5403.353442,154.7105858,0.216519113,21.22037652,0,Emitter_2,Emitter_2
5406.52621,157.3805249,1.756712287,21.72763439,2,Emitter_1,Emitter_1
5404.317398,119.1826901,1.611627186,14.2262669,2,Emitter_1,Emitter_1
5410,151.5109521,0.353154749,13.80751841,0.050057133,Emitter_2,Emitter_2
5400,164.2290771,0.273770135,14.53308487,0.034592153,Emitter_2,Emitter_2
5401.160051,100,1.8366776,16.46303577,1.531303076,Emitter_1,Emitter_1
5410,100,2,15.50661359,1.835119495,Emitter_1,Emitter_1
5400,128.6787407,2,7,1.811898655,Emitter_1,Emitter_1
5400,150.4740538,1.598660469,10.3016973,1.813415602,Emitter_1,Emitter_1
5401.195778,134.6124288,2,7,1.927128791,Emitter_1,Emitter_1
5410,131.2822739,1.494265509,10.13535676,1.67040762,Emitter_1,Emitter_1
5401.433237,1014.003427,1.337607776,44.39973801,1.751532698,Noise,Noise
5410,156.6637154,0.629130028,26.30151812,0,Emitter_2,Emitter_2
5409.851084,141.7765824,1.995994629,10.30916483,1.298289136,Emitter_1,Emitter_1
5400.944348,151.197154,0.401537759,16.15272671,0.075384616,Emitter_2,Emitter_2
5410,100.5060369,1.89762507,7,1.736847086,Emitter_1,Emitter_1
5400,127.3082651,1.696578726,10.6520135,1.913001292,Emitter_1,Emitter_1
5400,160.9575385,0,17.32353076,0,Emitter_2,Emitter_2
