Radio Frequency,Pulse Width,Azimuth,Angle Of Elevation,Ground_Truth,Predicted_Cluster
5400,998.0018106,0.507689913,0,Emitter_1,Emitter_1
5400,142.7166656,1.584966898,1.876788782,Emitter_2,Emitter_2
5404.799297,178.1776155,1.488558984,0.763141526,Emitter_2,Emitter_2
5400,166.6547127,1.624169919,0.928915347,Emitter_2,Emitter_2
5411.674459,158.6636646,1.715006602,1.117321688,Emitter_2,Emitter_2
5407.031054,1022.119882,0.038122289,0.030956329,Emitter_1,Emitter_1
5401.397657,150.903738,1.528873047,0.906027334,Emitter_2,Emitter_2
5400,1059.834559,0.44965364,0.201739329,Emitter_1,Emitter_1
5400,121.1381185,1.815481101,2,Emitter_2,Emitter_2
5404.265603,1055.114074,0.285745224,0,Emitter_1,Emitter_1
5410,151.1598006,1.553712453,1.693545749,Emitter_2,Emitter_2
5410,128.2192341,1.800976567,1.862754465,Emitter_2,Emitter_2
5400,120.086987,1.740226478,2,Emitter_2,Emitter_2
5401.062778,1026.996415,0.132285357,0.193687239,Emitter_1,Emitter_1
5400,1061.797643,0.069377578,0.093804663,Emitter_1,Emitter_1
5400,146.7512823,1.795150401,1.781903134,Emitter_2,Emitter_2
5410,116.8656035,1.724705947,1.913409814,Emitter_2,Emitter_2
5408.774565,138.3240464,1.692498811,0.632040641,Emitter_2,Emitter_2
5401.223856,1032.826558,0.404600935,0.045562334,Emitter_1,Emitter_1
5401.303594,1075.953416,0.133156019,0,Emitter_1,Emitter_1
5406.00246,1064.037723,1.354028229,1.903387942,Noise,Noise
5400,170.3751978,1.633015865,1.41003505,Emitter_2,Emitter_2
5400.840731,189.2736776,1.534719061,0.649379544,Emitter_2,Emitter_2
5400,168.8924691,1.627172177,1.908434436,Emitter_2,Emitter_2
5404.493476,177.4443928,1.529698406,0.969734996,Emitter_2,Emitter_2
5400,175.8088023,1.934135416,1.558359257,Emitter_2,Emitter_2
5402.391573,110.5849735,1.992448384,1.62013267,Emitter_2,Emitter_2
5400.879627,153.9594646,1.3424413,0.995532824,Emitter_2,Emitter_2
5410,1062.435955,0.671526869,0,Emitter_1,Emitter_1
5400,100,1.943107499,1.774780047,Emitter_2,Emitter_2
5400,148.3833693,1.613221892,1.722182414,Emitter_2,Emitter_2
5400,1083.274235,0.567308297,0,Emitter_1,Emitter_1
5408.901742,115.0654948,1.746874876,2,Emitter_2,Emitter_2
5400,129.2646587,1.638308087,2,Emitter_2,Emitter_2
5402.13329,156.5521913,1.797302958,1.66585842,Emitter_2,Emitter_2
5403.137472,144.9755048,1.487903584,1.145941392,Emitter_2,Emitter_2
5402.377517,1024.725754,0.169007496,0,Emitter_1,Emitter_1
5400,148.1722289,1.342568776,1.072936769,Emitter_2,Emitter_2
5408.250366,143.0581801,1.883775778,1.745055441,Emitter_2,Emitter_2
5407.428911,135.0347308,1.844456776,1.804971702,Emitter_2,Emitter_2
5405.981564,469.2809215,1.688584674,1.561467529,Noise,Noise
5400,128.6695435,1.394598652,0.960835185,Emitter_2,Emitter_2
5404.033104,151.1950411,1.869154726,1.270978097,Emitter_2,Emitter_2
5402.322449,163.7462646,1.600266842,1.79233694,Noise,Emitter_2
5404.017178,158.4349599,1.209076381,1.093563218,Emitter_2,Emitter_2
5400,1025.861035,0.235199491,0.263089498,Emitter_1,Emitter_1
5410,123.5448554,1.768427299,1.605251258,Emitter_2,Emitter_2
5407.367605,326.6376384,1.452337543,0.107960858,Noise,Noise
5400,137.8766616,1.525065697,0.786769741,Emitter_2,Emitter_2
5400,1054.232464,0.38290616,0.360769259,Emitter_1,Emitter_1
5400,100,1.485821526,1.471648046,Emitter_2,Emitter_2
5410,1017.239349,0.156765302,0,Emitter_1,Emitter_1
5401.831999,148.3467398,1.502767525,1.096033287,Emitter_2,Emitter_2
5400.187401,117.2617209,1.655355326,1.176302322,Emitter_2,Emitter_2
5400,101.5511005,1.776906222,1.496706902,Emitter_2,Emitter_2
5410,1037.126532,0.477281075,0.214326168,Emitter_1,Emitter_1
5400,1040.940115,0.429169531,0.540535968,Emitter_1,Emitter_1
5410,126.8962332,1.563975801,2,Emitter_2,Emitter_2
5400,1065.022193,0.427328576,0,Emitter_1,Emitter_1
5400.075382,1085.288404,0.162843858,-0.094884191,Emitter_1,Emitter_1
5401.406788,144.6378073,1.782349367,1.735723588,Emitter_2,Emitter_2
5400,163.1707501,1.238218027,1.176833505,Emitter_2,Emitter_2
5400,160.1026268,1.549697546,0.429807444,Emitter_2,Emitter_2
5410,124.6042526,2,2,Emitter_2,Emitter_2
5400,115.0745797,1.62272973,1.801759647,Emitter_2,Emitter_2
5400,136.9074699,2,1.93014523,Emitter_2,Emitter_2
5405.108192,1007.228123,0,0,Emitter_1,Emitter_1
5400,1047.930035,0.451798392,0,Emitter_1,Emitter_1
5403.196881,187.4554079,1.501007441,1.107656213,Emitter_2,Emitter_2
5400,134.8820244,1.519541609,1.570947106,Emitter_2,Emitter_2
5400,1016.538715,0.16061522,0,Emitter_1,Emitter_1
5400,136.8434997,1.021609993,0.806443564,Emitter_2,Emitter_2
5400,126.4087929,1.599644557,1.383061015,Emitter_2,Emitter_2
5400.567156,1057.682529,0.076486193,0,Emitter_1,Emitter_1
