TOA_ns,Freq_MHz,PW_ns,Az_deg,El_deg,Ground_Truth,Predicted_Cluster
20000,5900,4000,20.1219,7.688,Emitter_1,Emitter_1
55000,6100,4000,-25.1808,14.8002,Emitter_2,Emitter_2
120000,5900,4000,20.3002,8.2822,Emitter_1,Emitter_1
180000,6100,4000,-24.8264,15.0756,Emitter_2,Emitter_2
220000,5900,4000,19.2196,7.6093,Emitter_1,Emitter_1
305000,6100,4000,-25.5619,15.3368,Emitter_2,Emitter_2
320000,5900,4000,20.0511,7.9051,Emitter_1,Emitter_1
420000,5900,4000,19.9933,7.7441,Emitter_1,Emitter_1
430000,6100,4000,-25.0377,14.6667,Emitter_2,Emitter_2
520000,5900,4000,20.3518,8.2333,Emitter_1,Emitter_1
555000,6100,4000,-24.5245,15.1877,Emitter_2,Emitter_2
620000,5900,4000,20.0264,8.3382,Emitter_1,Emitter_1
680000,6100,4000,-25.5058,15.5332,Emitter_2,Emitter_2
720000,5900,4000,20.187,7.7422,Emitter_1,Emitter_1
805000,6100,4000,-24.7365,14.9969,Emitter_2,Emitter_2
820000,5900,4000,20.1475,7.7123,Emitter_1,Emitter_1
920000,5900,4000,20.3514,7.985,Emitter_1,Emitter_1
930000,6100,4000,-24.3639,15.0478,Emitter_2,Emitter_2
1020000,5900,4000,19.9261,7.7957,Emitter_1,Emitter_1
1055000,6100,4000,-25.0112,14.8019,Emitter_2,Emitter_2
1120000,5900,4000,20.489,7.9536,Emitter_1,Emitter_1
1180000,6100,4000,-24.7673,15.143,Emitter_2,Emitter_2
1220000,5900,4000,19.8287,7.8944,Emitter_1,Emitter_1
1305000,6100,4000,-24.9941,14.763,Emitter_2,Emitter_2
1320000,5900,4000,20.2129,8.1096,Emitter_1,Emitter_1
1420000,5900,4000,20.1651,8.1292,Emitter_1,Emitter_1
1430000,6100,4000,-24.948,14.9791,Emitter_2,Emitter_2
1520000,5900,4000,20.8567,7.8781,Emitter_1,Emitter_1
1555000,6100,4000,-25.5334,14.5585,Emitter_2,Emitter_2
1620000,5900,4000,19.7951,7.7559,Emitter_1,Emitter_1
1680000,6100,4000,-24.7739,14.2194,Emitter_2,Emitter_2
1720000,5900,4000,20.2464,8.3387,Emitter_1,Emitter_1
