Radio Frequency,Pulse Width,Azimuth,Amplitude,Angle Of Elevation,Emitter,,,,
5400,139.9738493,1.665887898,16.31775187,1.535834078,0,,,,
5410,143.0769532,1.739919208,17.85016484,1.521824914,0,,,,
5400,160.6931474,1.574724431,11.81673843,1.971061871,0,,,,non negative labels are  datapoints
5407.460062,140.2592788,1.642093468,12.9487338,1.716780429,0,,,,negative labels are noise points
5400.293385,1020.681542,0.221295286,12.67190639,0.018680763,1,,,,
5401.697043,142.3087181,2,11.35561335,1.611497866,0,,,,
5403.300636,1049.83548,0.391075578,17.52136439,0.131176424,2,,,,
5399.729068,162.1284635,1.839965793,8.904908319,2.044384207,0,,,,
5400,1008.692698,0.455204521,11.6326602,0,1,,,,
5408.397011,1039.240717,0.054632741,17.3107001,0,1,,,,
5400,1031.543994,0.027884268,16.63049164,0.265683599,2,,,,
5400,110.0972068,1.742767314,12.70759636,1.978212109,0,,,,
5402.766078,1029.507734,0.327016616,16.81064851,0.191547476,1,,,,
5400.121611,1081.616021,0.019147366,16.5562463,0.132505288,2,,,,
5400,157.8683191,1.773364981,21.08384101,1.77799371,0,,,,
5404.287511,154.6443615,1.55208329,15.99322804,1.817014525,0,,,,
5406.370801,116.584592,1.331924736,41.37380198,0.517266422,-1,,,,
5403.430047,117.3398687,1.860370665,8.565896634,1.754502653,0,,,,
5400,160.7286471,2,15.43711717,1.927430333,0,,,,
5404.288728,1018.560916,1.139624452,21.03970322,0.933532112,-1,,,,
5400,1020.67029,0.224805987,21.72965292,0.067530441,2,,,,
5400,1024.49329,0.322708724,19.26225373,0.267739326,2,,,,
5406.66541,136.7060791,1.620731778,17.76791946,1.614074724,0,,,,
5400,1019.597848,0.222706477,16.06752037,0,1,,,,
5400,151.6335377,1.855464475,14.27346266,1.836628657,0,,,,
5404.626063,762.9991022,0.538571638,7.278677443,0.801826157,-2,,,,
5400,146.9017237,1.67618538,16.23233208,1.67675081,0,,,,
5401.352164,1050.434345,0.566566157,15.04737371,0.050149385,1,,,,
5410,995.1971367,0.490577252,14.7781359,0,2,,,,
5400,1037.702041,0.473232915,18.99788071,0.144518084,2,,,,
5410,1035.548918,0,18.23277734,0.188678994,1,,,,
5400,139.6667173,1.343916805,11.03808725,1.886019096,0,,,,
5409.719305,1017.86206,0.372396159,21.10113786,0.094757786,1,,,,
5401.769702,986.7150107,0.487989914,7,0,1,,,,
5400,165.3425629,1.764617624,7,1.928022978,0,,,,
5401.54153,1025.538891,0,20.79900403,0.372224461,1,,,,
5409.336032,146.228167,1.768486448,7.088615717,1.465711788,0,,,,
5401.523728,132.7637202,1.773185078,9.20497546,1.798309421,0,,,,
5401.375418,164.5597562,1.525975499,14.23623842,1.574275835,0,,,,
5403.626589,98.49765237,1.666624838,10.61216603,1.882886188,0,,,,
5410,105.8901311,1.901179522,11.71356821,1.86100676,0,,,,
5400,199.9439658,1.693115288,11.91513203,1.855774954,0,,,,
5409.907997,1046.282092,0.446347445,7,0,1,,,,
5401.663329,224.0065969,0.14198593,32.40789328,1.571855234,-1,,,,
5406.307036,1037.426913,0.626504082,18.76630038,0,2,,,,
5410,145.7889563,1.682922398,21.91754566,1.989849174,0,,,,
