row,true_label,predicted_cluster,distance_to_centroid,is_ground_truth_noise
1,0,0,1.048804073,0
2,0,0,1.759653249,0
3,0,0,0.9614761038,0
4,0,0,0.9888272794,0
5,1,2,0.4306268237,0
6,0,0,0.6131586983,0
7,2,2,0.6062269489,0
8,0,0,1.117003606,0
9,1,2,0.585222954,0
10,1,1,0.5082197874,0
11,2,2,0.5653118554,0
12,0,0,0.931014907,0
13,1,2,0.4480537805,0
14,2,2,0.5421539561,0
15,0,0,1.384814839,0
16,0,0,0.5472042038,0
17,-1,3,1.46535822,1
18,0,0,0.5256701509,0
19,0,0,1.028616781,0
20,-1,1,1.950479358,1
21,2,2,0.8734129192,0
22,2,2,0.6172597091,0
23,0,0,1.043627824,0
24,1,2,0.3668081181,0
25,0,0,0.9261424295,0
26,-2,0,2.564388107,1
27,0,0,1.011220007,0
28,1,2,0.346435416,0
29,2,1,0.3835530441,0
30,2,2,0.596082015,0
31,1,1,0.6110711301,0
32,0,0,1.080750963,0
33,1,1,0.6634864177,0
34,1,2,1.072436532,0
35,0,0,1.14583837,0
36,1,2,0.8835670312,0
37,0,0,1.633887773,0
38,0,0,0.6632698679,0
39,0,0,0.7031213379,0
40,0,0,0.3379724694,0
41,0,0,1.628038669,0
42,0,0,0.9103338708,0
43,1,1,1.172744763,0
44,-1,3,1.906916442,1
45,2,1,0.8727770311,0
46,0,0,2.005544299,0
47,-2,2,1.505129695,1
48,1,1,0.3780117641,0
49,2,2,0.3562311091,0
50,1,2,0.6107443082,0
51,-1,3,1.428851229,1
52,0,0,1.764277734,0
53,1,1,1.155713208,0
54,1,2,0.6131371158,0
55,0,0,0.9809089265,0
56,-1,3,2.441913943,1
57,0,0,1.238504561,0
58,1,1,0.4196714834,0
59,0,0,1.236689329,0
60,2,2,0.3437936932,0
61,0,0,2.090162519,0
62,0,0,0.9651720729,0
63,0,0,0.9778894802,0
64,0,0,1.616279576,0
65,0,0,0.9865992051,0
66,1,2,0.6164285517,0
67,1,2,0.4303528472,0
68,0,0,0.9113061472,0
69,1,1,0.3016804023,0
70,0,0,0.9521224952,0
71,0,0,1.207206434,0
72,2,1,0.7706668396,0
73,0,0,0.9370595067,0
74,-1,1,2.23881059,1
75,1,2,0.3305233196,0
76,0,0,1.647850174,0
77,2,2,0.3193604451,0
78,0,0,1.132512409,0
79,0,0,1.203729619,0
80,0,0,0.9268435792,0
81,0,0,1.757376113,0
