Radio Frequency,Pulse Width,Azimuth,Angle Of Elevation
5405.095332,116.1245004,1.786884496,1.641547149
5410,154.2824537,0,0.156160202
5400,146.0756929,1.384526209,1.951950486
5402.385613,897.4022194,0.694084802,1.113964318
5405.186936,596.4994138,0.053895535,1.138421489
5400,179.3268201,1.628888719,1.836610444
5407.869554,165.9481467,0.150632627,0.38232362
5400.284297,177.4220257,0.329353933,0.455537553
5410,110.6686368,1.660577643,1.599381784
5400,108.4427034,1.975181636,1.612701291
5400,106.6172963,1.713442378,1.776018009
5401.147617,127.3866182,1.837222452,1.710561726
5400,126.4417916,1.388626312,1.968725658
5410,160.3991143,1.668820443,1.808709177
5410,158.5287289,1.734682594,1.726980528
5400,166.9796268,1.866192953,2
5402.763556,439.0960487,1.152843796,1.718215585
5400.070211,131.3850014,1.817968816,1.846701121
5407.716644,107.3484785,1.750142603,1.692991359
5400,118.6198231,1.851349229,1.723487972
5400,121.7078829,1.533227572,2
5409.282771,108.6770868,1.859871275,1.863617989
5400,109.4208387,2,1.409431117
5400,128.8902946,1.832309814,1.736816577
5400,100,1.733024463,1.819576592
5409.203635,1090.379002,1.657045187,1.258032102
5400,106.873079,1.853663314,1.759885827
5400,100,1.989122451,2
5406.3086,170.0973165,1.576224398,1.806542277
5410,101.1971436,2,2
5402.959395,160.359866,0.50404175,0
5400,166.9137174,1.843984298,1.600919182
5404.979348,120.071598,1.874902722,1.497971667
5410,128.5093804,1.854244657,1.702628896
5405.007544,836.703619,1.536563909,1.119094948
5402.309344,430.2412219,0.666697657,0.494554765
5400,103.3203877,1.863550815,1.86733032
5400.89184,115.1662749,1.70403105,1.680171034
5400,122.685274,1.393914587,1.919034954
5409.252845,494.6254388,1.48471807,1.964994547
5402.71606,100,2,1.393255502
5404.547186,147.1415522,0,0
5401.909851,975.5237604,1.855667559,1.250236743
5400,159.8988229,1.501139266,2
5408.540989,524.8545677,0.958547216,1.101054927
5408.07663,937.6797049,1.007443763,0.997769615
5400,121.0632675,1.661316358,1.762543478
5400,135.3892606,0.384876665,0
5400,145.5362177,2,1.707240546
5410,167.5164429,1.492656836,1.648310751
5400,174.1847096,1.679994787,1.984988136
5401.958046,141.7900432,0.450391237,0
5403.228417,166.9426123,0.63744062,0
5400,120.5464344,1.746920848,1.89003629
5400.191162,1099.048889,0.805226946,0.603955584
5407.684541,127.669557,1.78935099,2
5410,144.4104936,1.83647062,1.847038962
5400,177.8940904,0.377951982,0
5400,115.5836942,2,1.602413591
5401.54045,334.3312374,1.200794549,0.893436474
5400,140.8345357,2,1.379005472
5402.09232,131.4461667,2,1.987943805
5410,144.8103181,1.674025246,1.718968366
5405.582849,118.1194944,2,1.72109714
5404.302245,100,1.924210867,1.783349695
5401.674792,235.716907,0.426436832,0.450950195
5401.36701,113.3415966,1.801507745,1.695125311
5410,116.5737938,2,1.6060036
5409.828344,1014.771251,1.103426306,0.433492925
5409.192026,152.3472918,1.822216175,1.661946033
5402.838425,135.2309192,1.861590751,2
5410,137.0828876,1.646591717,1.61314141
5407.786226,131.939735,1.707441439,1.977206386
5410.770448,170.254234,0.035817852,-0.036757318
5403.000196,473.764632,1.263868871,0.765990106
5400,137.2735254,2,1.810594071
5400,157.2252749,1.426894952,1.742063391
5400,157.0842075,0.624767212,0
5403.647993,171.3410622,0.066009746,0.244568391
5410,122.442114,1.721456431,1.982675038
5400,125.3158923,2,1.85529125
5400.937976,102.3381532,1.917473649,1.617291181
5405.182482,148.444163,1.828931516,1.958834219
5407.354162,146.5132151,1.909709832,2
5400,133.0816447,0.563888065,0
5408.703319,147.9349292,1.717357767,1.691473539
5400,105.4599114,1.510792654,1.493029121
5400.139872,116.5846477,1.829532001,1.939280872
5400.861587,985.5375614,0.459896114,1.906788675
5400,172.7111052,0.49652178,0.034428461
5410,129.1990095,2,1.857410077
5400,100,1.592924581,1.844053148
5410,125.2016151,1.606011901,1.7793818
5400,100,1.653840847,1.753315182
5400,116.4693806,1.7767048,1.83652098
5410,159.4140493,0.195275443,0
5400,172.0911522,1.895210352,1.926305243
5410,138.0504097,1.601816508,1.632082535
5403.64262,479.7481248,1.820825847,0.80804476
5400,161.2992249,1.538484496,1.565988553
5410,146.7268294,0.28993114,0
5400,100,1.814442805,1.613897405
5410,118.9254321,1.70028057,1.74336693
5405.531613,151.3391437,1.369218251,1.479840396
5400,172.4393885,0.21200632,0
5400,131.5296459,1.710256466,1.751496399
5400,197.2591848,0,0.259067748
5403.899034,615.0755979,0.473247067,0.261202216
5399.407698,142.354294,0.513105532,-0.157696496
5400,100,1.948561278,1.986313014
5401.092581,813.6746087,1.947472384,0.244936167
5406.923145,135.0848937,2,1.927352872
5401.383807,123.5413496,1.829924562,1.399632674
5400,186.8595854,0.246639019,0
5400,187.9255155,0,0
5410.346332,128.0977491,2.072085836,2.156649547
5400,108.1674303,1.866062951,2
5406.191651,110.8410139,1.814093247,1.881329929
5410,158.2097059,1.784197552,1.997483034
5410,106.3088696,1.773076374,1.876876395
5410,127.7356884,2,1.569659768
5404.143946,705.4254543,1.328409636,1.640908042
5400,136.6982643,1.815381094,1.520344031
5410,138.5520614,1.554906775,1.927926531
5403.353442,154.7105858,0.216519113,0
5406.52621,157.3805249,1.756712287,2
5404.317398,119.1826901,1.611627186,2
5410,151.5109521,0.353154749,0.050057133
5400,164.2290771,0.273770135,0.034592153
5401.160051,100,1.8366776,1.531303076
5410,100,2,1.835119495
5400,128.6787407,2,1.811898655
5400,150.4740538,1.598660469,1.813415602
5401.195778,134.6124288,2,1.927128791
5410,131.2822739,1.494265509,1.67040762
5401.433237,1014.003427,1.337607776,1.751532698
5410,156.6637154,0.629130028,0
5409.851084,141.7765824,1.995994629,1.298289136
5400.944348,151.197154,0.401537759,0.075384616
5410,100.5060369,1.89762507,1.736847086
5400,127.3082651,1.696578726,1.913001292
5400,160.9575385,0,0
5408.07556,130.1104351,1.45319942,1.926089703
5400,113.2963317,1.942466363,1.803940977
5410,113.3882994,1.773707065,1.914765016
5400,139.5825062,1.470137928,1.871554662
5406.960437,101.5548834,1.732327354,1.751354414
5400,114.659677,2,1.796241576
5400,106.3285544,2,1.634724892
5400,160.4103834,0.336883821,0.023065556
5407.115755,150.0994571,1.697785919,1.947530219
5400,110.8973494,1.951889161,1.69760754
5409.994597,164.8368393,0.277683597,0.123426472
5409.131561,888.6119953,0.761553925,1.097853808
5400,103.3997873,1.865281601,2
5401.589175,142.8842942,1.792839384,1.800231684
5400,151.5930001,1.456327398,1.779361666
5402.691022,156.0804608,0.541393767,0
5400.446045,331.0132344,1.131230543,0.978280923
5402.868977,152.9483555,1.832573496,1.669893393
5400,150.9500843,0.26193397,0
5401.287721,121.3932368,1.639685972,1.727844863
5406.820053,181.325809,1.73360081,1.83797185
5401.205431,150.3473337,0.331592966,0.201582978
5400,118.1982582,1.699609136,1.628278255
5409.967644,864.8913765,0.968508892,1.588372399
5409.56687,448.1201205,0.849765495,0.121503799
5410,139.6914292,1.768994769,1.728840992
5405.852132,338.7721782,1.604644707,0.701582553
5400,157.8950583,0.332094499,0
5404.862902,132.1807041,1.775868586,1.913782013
5400,137.8552814,1.714392819,1.710895411
5410,126.1381703,1.880150304,2
5410,174.3393352,0.432978255,0
5400,108.8755235,1.752074715,1.994766405
5400,148.7206684,1.372634187,1.566060102
5398.998266,148.0211816,0.042726577,0.083611578
5400,140.726066,1.987032492,1.818840674
5400,138.7389486,1.572758215,1.817602135
5410,111.7110723,1.479936648,1.9534737
5400,100,1.580016368,1.678978833
5400,150.3414914,2,1.774655696
5403.412585,1003.22795,1.806569474,0.217088902
5400,112.9304146,1.571167681,1.847237874
5410,138.4956827,1.540886677,1.593419234
5405.779351,131.0673876,1.543621026,2
5410,140.5188656,1.831536162,1.622253652
5410,155.4346673,1.537225964,1.814783285
5407.351005,137.5567673,1.800953266,1.640825463
5401.013858,119.4862993,1.646560563,1.536259414
5401.577021,139.9986544,0,0
5400,150.3142064,0.35824449,0
5401.45185,141.0106437,0.269925181,0
5404.94851,504.5664895,1.806280254,1.949403045
5400,113.4017565,1.734115467,1.516330547
5404.842134,148.3252078,1.412265911,1.860813777
5401.500565,248.0876431,1.408343762,1.212225635
5402.244526,161.4287472,0.189167856,0.188701544
5400,136.0615189,1.710689588,1.598068933
5400.520472,114.4031633,1.553283722,1.797062532
5400,113.3388914,1.504139867,2
5407.960688,1064.916431,0.800424239,0.462913328
5407.226773,155.5376519,0.299964878,0.040386787
5400,107.4544378,1.611554864,1.921530714
5406.053571,140.0174509,0.522512205,0
5405.036031,162.1532647,1.762030846,1.782384142
5405.104036,178.9833578,0.269810026,0.083524825
5400,156.0255984,1.868297818,1.838806629
5410,100,1.939483614,1.713560717
5400,110.4006489,1.487508611,1.463096271
5408.676122,167.3505123,0.241940734,0
5410,161.4422413,1.615208186,1.576012841
5400,181.1711824,0.212360947,0
5400,188.40207,0.414642715,0.008054576
5400.603239,143.2802059,2,1.758694422
5405.300112,228.5416978,1.19197096,0.055949204
5403.156296,369.723531,0.547604153,1.438664312
5400,140.8084604,1.660864808,1.271273156
5400,129.057343,1.9647728,1.813276036
5410,100,1.971774819,1.852490486
5400,159.2171722,1.85145776,1.655234783
5403.848201,830.0513529,1.488525785,1.645592164
5408.095768,131.0073722,1.768492367,1.926105694
5400,117.2961404,1.646185169,1.727659381
5400,141.8273063,2,1.519080411
5408.736864,136.4553557,1.514660085,1.754227875
5409.593157,720.3753398,1.118695771,0.606935863
5400,123.7297242,1.9418782,1.530631633
5402.250218,560.2629109,1.852377097,1.477852506
5400,121.2347272,1.729836403,1.852053291
5407.476454,120.4800368,1.854264219,1.511883533
5400.14954,128.2386313,1.782816595,1.889529136
5410,149.661212,0,0
5410,147.4678187,1.761719424,1.635841452
5403.083488,125.992784,1.817906724,1.059137585
5400,100,1.953922486,1.811485916
5400,116.2136121,1.879751027,1.963790576
5400,120.2386799,1.735202523,2
5406.269585,149.1319089,1.844263707,1.823856175
5409.60799,253.004187,1.077026686,1.879048727
5400,168.6428688,0.302744219,0
5401.478277,213.3368867,1.873506048,0.279586363
5401.867711,100,1.664505821,1.935026904
5400,160.8844317,1.776082827,1.672292711
5410,124.9036871,2,1.65649681
5400,113.5364569,2,2
5410,155.2691377,0.405381863,0.318018928
5408.348405,124.8222761,1.631355218,1.754800003
5400,156.6026516,0.346868091,0
5400,100,1.930405795,2
5404.685124,838.548246,0.579462459,1.818260717
5400.222932,149.7641668,0.118842828,0.032310213
5400.444055,794.0358941,1.30386864,1.514752981
5400.316705,101.3865908,1.955566576,1.626646648
5401.316481,149.0856753,1.718439247,1.700310548
5400,100,1.740942467,1.913069964
5410,137.2726975,2,1.693941383
5400,141.191159,1.829111276,1.996157682
5400,152.2236029,0.22349022,0.084220995
5400,126.4707189,1.998731818,1.92731161
5408.482229,876.8912708,0.182508544,0.544877095
5410,145.316634,1.84498912,1.819545913
5410,124.2066193,1.674455351,1.923924709
5410,143.6597452,0.549485944,0.049954591
5410,137.2860882,1.870432824,1.779382572
5400,110.7389374,1.844636882,2
5400,136.5433504,2,1.982318314
5410,186.9402991,0.544511573,0.025405765
5404.951208,137.8945068,1.705798934,1.436510739
