Radio Frequency,Pulse Width,Azimuth,Amplitude,Angle Of Elevation,Ground_Truth
5400,180.2022291,1.85258553,16.44365964,1.462401268,Emitter_1
5403.376784,133.8177207,1.820455487,10.99483151,1.437118393,Emitter_1
5401.470522,599.1820302,1.604163543,21.46514423,0.994852023,Noise
5400,127.9245447,2,7,1.746854014,Emitter_1
5400.824143,1030.705389,0.364008945,7.296888138,1.56927271,Noise
5400.320974,124.8915534,1.891461799,16.63179063,1.912631463,Emitter_1
5400,1060.397238,0.553146881,35.09034254,0.611934776,Emitter_2
5400,1010.480127,0,29.59327356,0.628146871,Emitter_2
5400,1070.938489,0,37.78117847,0,Emitter_3
5407.409948,158.8157733,1.831916276,20.93666246,1.9089803,Emitter_1
5408.212526,1031.910864,0.168698738,31.46046764,0.343138415,Emitter_2
5405.429253,1006.015844,0.2767774,33.33800672,0.381544634,Emitter_2
5400,1023.049555,0,27.43218497,0.179503843,Emitter_2
5410,147.253187,1.864830311,15.85267552,1.536300492,Emitter_1
5400,149.3820816,2,11.06066626,1.950152138,Emitter_1
5408.777078,159.6186868,2,7.761645405,1.907033108,Emitter_1
5400,156.2964109,1.762020098,24.74442572,1.627691535,Emitter_1
5407.336556,291.1334999,1.830734285,44.40647365,1.778283106,Noise
5407.001248,1022.810981,-0.137948223,27.88433037,0.520080175,Emitter_2
5404.682072,988.5084611,0.14339323,23.10219241,0.450311017,Emitter_2
5410,163.8057786,1.966592572,7,1.771892967,Emitter_1
5406.051315,160.2583002,1.654592524,9.119890155,2,Emitter_1
5400,1043.988001,0.493643009,32.66554609,0.80457926,Emitter_2
5400,1040.390336,0.177313386,31.8213074,0.255521907,Emitter_2
5410,1015.821714,0.258651757,32.44954209,0.452098119,Emitter_2
5410,139.6995258,1.470953377,16.35263878,1.740656627,Emitter_1
5400,1096.196067,0,45.12745371,0,Emitter_3
5405.602846,560.4094089,0.034840038,45.51151085,1.485266128,Noise
5400,1011.686144,0,45.08071003,0.020622446,Emitter_3
5400.889875,113.3645471,1.924546816,24.31688039,1.927161244,Emitter_1
5400,991.191563,0.273371458,30.05568988,0.805061713,Emitter_2
5410,139.6304113,1.746159806,18.49792173,1.858155718,Emitter_1
5406.885971,1057.039519,0.272851005,26.27415532,0.500477797,Emitter_2
5401.384345,608.2245344,0.580763397,9.260470184,1.907894609,Noise
5400,1052.296752,0,41.74384522,0.32678792,Emitter_3
5400,1003.492322,0.243829005,30.46825379,0.573297455,Emitter_2
5410,1003.64335,0.489745927,30.13810459,0.630147905,Emitter_2
5400,1015.917223,0.422194487,25.71915176,0.844232566,Emitter_2
5400,1080.279986,0.058348514,47.00765337,0,Emitter_3
5407.31442,144.1279832,1.905875444,8.430538138,1.640431398,Emitter_1
5405.40188,158.426554,1.584722774,7,1.606801592,Emitter_1
5402.3335,499.2028164,1.438397292,17.82177787,0.653663964,Noise
5400,988.6333123,0.512331856,32.19094424,0.193428875,Emitter_2
5402.063626,1042.59952,0.312849712,50.87430287,0.142476293,Emitter_3
5400,1016.590186,0.297948657,30.5748641,0.716336691,Emitter_2
5409.673301,139.7326547,0.697893652,44.99668264,1.299663815,Noise
5400,139.9668566,1.837574184,7,1.950270955,Emitter_1
5408.336903,956.7185177,0.136160987,36.94580927,0.674989502,Noise
5410,1035.716466,0.605983297,38.2399602,0.57022946,Emitter_2
5400,1023.22924,0.254418707,25.51445987,0.493785654,Emitter_2
5400,1072.899671,0.533867649,35.22978736,0.623285187,Emitter_2
5402.117382,994.1325492,0.186569413,24.36038083,0.85415375,Emitter_2
5405.784308,618.7710496,0.898661181,27.60256718,0.858367262,Noise
5401.527754,1026.436547,0.163129886,34.29914026,0.214658747,Emitter_2
5400.521091,357.8360403,0.35265185,13.36779477,1.848739173,Noise
5400,150.6247582,1.86687968,25.88775118,1.888407235,Emitter_1
5400.080752,993.9446137,0.548438714,35.76542209,0.395690284,Emitter_2
5403.674127,126.4606346,2,8.340086607,1.89111266,Emitter_1
5400,1007.340492,0.674991669,30.79222968,0.450140086,Emitter_2
5408.467787,1019.914267,0.3422336,27.38770089,0.440503713,Emitter_2
5410,1063.91702,0,34.15852784,0.027336343,Emitter_3
5409.789001,1040.313874,0.042207265,43.52206254,0.032476764,Emitter_3
5400,146.8879804,1.912840818,14.78980522,2,Emitter_1
5401.739796,127.7226644,1.987395451,12.79878251,1.56731671,Emitter_1
5400,1033.23851,0,45.46884174,0.148517118,Emitter_3
5408.08512,163.2328762,2,9.748443439,1.767158601,Emitter_1
5400,118.0988736,1.663459553,7,1.713417075,Emitter_1
5403.462673,796.3443716,0.798523479,50.53562206,0.328738355,Noise
5410,1019.353933,0.017241076,19.69600563,0.166961881,Emitter_2
5410,1007.358501,0.095570872,32.67398515,0.494708691,Emitter_2
5406.826818,1028.319456,0.412199592,35.04041454,0.529392404,Emitter_2
5400,1012.326667,0.553924932,20.66844669,0.603495733,Emitter_2
5406.342428,148.8682657,1.561277574,9.395356509,1.783326424,Emitter_1
5408.808101,1001.341042,0.163167972,38.16807149,0.188514352,Emitter_2
5407.860506,188.5247042,2,14.15546178,1.884665434,Emitter_1
5400,100,1.332653335,14.74320919,1.737816579,Emitter_1
5404.320755,142.4039322,1.960568089,8.413861727,1.982480472,Emitter_1
5401.96123,122.3981297,1.579186133,13.52797192,1.809732715,Emitter_1
5410,1024.480691,0.387385833,27.79134839,0.429585141,Emitter_2
5400,165.5703493,1.728770759,7,1.929722071,Emitter_1
5403.292327,152.6931976,1.994590379,9.513618204,1.365012356,Emitter_1
5400,152.6178283,1.642986281,9.906369511,1.81165086,Emitter_1
5400,161.9588466,1.651600555,20.34926309,2,Emitter_1
5401.709304,107.8633382,1.59876719,10.75909111,2,Emitter_1
5410,146.0774741,1.745093235,9.497626684,1.951833104,Emitter_1
5410,1036.057977,0.137624352,49.8464687,0.021232597,Emitter_3
5410,1013.700278,0.053554963,40.56890013,0.588785397,Emitter_2
5400,130.5595607,1.609384271,7,1.458191269,Emitter_1
5400,127.1909413,1.858188985,8.478376717,1.760717016,Emitter_1
5403.870922,1017.726573,0.742301131,27.07165831,0.481459612,Emitter_2
5400.36006,118.07266,1.721975451,13.62694327,1.836715794,Emitter_1
5409.728705,429.1616242,1.941259739,47.83037995,1.848185668,Noise
5406.733313,129.7892879,1.382707918,7,1.875831385,Emitter_1
5400.203756,427.3587922,1.920029329,33.09936668,0.120859749,Noise
5404.705854,149.0510631,1.700792778,7,1.727697568,Emitter_1
5404.499661,1026.256252,0.190708546,32.73056847,0.261719406,Emitter_2
5410,126.6270633,1.739652018,7.817397686,1.661386673,Emitter_1
5404.148963,1058.322227,0.312937259,51,0.209343403,Emitter_3
5402.896889,1081.493572,0.050231628,49.45391914,0.036567767,Emitter_3
5400,117.7972243,1.78169682,16.99795524,1.673654378,Emitter_1
5407.071147,1082.871989,0.055195295,51,0,Emitter_3
5410,995.3668432,0.522494685,23.13606606,0.343171529,Emitter_2
5410,993.1159313,0.271469535,35.68844816,0.734102293,Emitter_2
5406.714606,221.1696104,0.348538644,22.84818574,1.45479957,Noise
5410,989.3153707,0.435968214,37.78790664,0.261060533,Emitter_2
5400.881784,147.9365677,1.707942146,13.77153328,1.677444445,Emitter_1
5406.944168,100,1.771548954,19.47405041,2,Emitter_1
5403.37509,1010.318005,0.353987304,29.64117562,0.777311117,Emitter_2
5400,1058.017046,0.27849198,44.20298665,0.078633729,Emitter_3
5410,1046.996454,0.5017888,24.79956817,0.474976872,Emitter_2
5400,1078.658494,0.21665978,42.3033143,0,Emitter_3
5400,1033.275588,0,30.86190157,0,Emitter_2
5410,1049.004305,0.63682454,28.99190007,0.443777042,Emitter_2
5400,1029.100918,0.085944197,33.09209373,0.300236502,Emitter_2
5400,154.8178437,1.564060803,7,2,Emitter_1
5400,1069.40782,0.255420275,42.06433341,0,Emitter_3
5408.218915,1020.510211,0.160383791,30.83401879,0.382316947,Emitter_2
5410,133.7279521,1.671328827,19.87428654,2,Emitter_1
5400,137.8178884,1.64846844,7,1.788584412,Emitter_1
5410,1020.815021,0.680186005,19.40164206,0.208686267,Emitter_2
5402.465985,151.3227311,2,22.45278086,1.746136865,Emitter_1
5400.199556,1026.748953,0.157347876,41.19433199,0.617248353,Emitter_2
5410,120.9417585,1.362238588,14.32363661,1.659426888,Emitter_1
5400,1061.139823,0.147433392,45.91019634,0.311278503,Emitter_3
5404.867283,159.7010802,1.997134659,11.79485643,1.606111428,Emitter_1
5400,1031.219484,0.481125467,33.38250006,0.391869818,Emitter_2
5400,1037.645494,0.420373034,22.84588059,0.856740991,Emitter_2
5401.465493,1044.308018,0.150558324,26.40008738,0.169729942,Emitter_2
5400,131.8855268,1.837666505,16.41545394,1.664922422,Emitter_1
5410,1027.328155,0.383044403,32.23776056,0.600001852,Emitter_2
5410,127.7330829,1.915859755,8.279937229,1.645628271,Emitter_1
5400,116.5531111,2,13.70074715,1.680275846,Emitter_1
5403.491652,161.8150955,1.700538237,7,2,Emitter_1
5410,1047.966434,0.23587036,31.77208823,1.148352646,Emitter_2
5409.177725,399.0807166,1.217305295,37.05664956,1.389863312,Noise
5406.740631,161.8475217,1.616366035,7,1.659339234,Emitter_1
5403.358759,886.4463885,0.383558486,25.68669824,0.555650797,Noise
5410,143.1496722,2,17.97844868,1.778795176,Emitter_1
5410,1040.777322,0.348699607,33.66484808,0.231137015,Emitter_2
