Radio Frequency,Azimuth,Angle Of Elevation
5405.095332,1.786884496,1.641547149
5410,0,0.156160202
5400,1.384526209,1.951950486
5402.385613,0.694084802,1.113964318
5405.186936,0.053895535,1.138421489
5400,1.628888719,1.836610444
5407.869554,0.150632627,0.38232362
5400.284297,0.329353933,0.455537553
5410,1.660577643,1.599381784
5400,1.975181636,1.612701291
5400,1.713442378,1.776018009
5401.147617,1.837222452,1.710561726
5400,1.388626312,1.968725658
5410,1.668820443,1.808709177
5410,1.734682594,1.726980528
5400,1.866192953,2
5402.763556,1.152843796,1.718215585
5400.070211,1.817968816,1.846701121
5407.716644,1.750142603,1.692991359
5400,1.851349229,1.723487972
5400,1.533227572,2
5409.282771,1.859871275,1.863617989
5400,2,1.409431117
5400,1.832309814,1.736816577
5400,1.733024463,1.819576592
5409.203635,1.657045187,1.258032102
5400,1.853663314,1.759885827
5400,1.989122451,2
5406.3086,1.576224398,1.806542277
5410,2,2
5402.959395,0.50404175,0
5400,1.843984298,1.600919182
5404.979348,1.874902722,1.497971667
5410,1.854244657,1.702628896
5405.007544,1.536563909,1.119094948
5402.309344,0.666697657,0.494554765
5400,1.863550815,1.86733032
5400.89184,1.70403105,1.680171034
5400,1.393914587,1.919034954
5409.252845,1.48471807,1.964994547
5402.71606,2,1.393255502
5404.547186,0,0
5401.909851,1.855667559,1.250236743
5400,1.501139266,2
5408.540989,0.958547216,1.101054927
5408.07663,1.007443763,0.997769615
5400,1.661316358,1.762543478
5400,0.384876665,0
5400,2,1.707240546
5410,1.492656836,1.648310751
5400,1.679994787,1.984988136
5401.958046,0.450391237,0
5403.228417,0.63744062,0
5400,1.746920848,1.89003629
5400.191162,0.805226946,0.603955584
5407.684541,1.78935099,2
5410,1.83647062,1.847038962
5400,0.377951982,0
5400,2,1.602413591
5401.54045,1.200794549,0.893436474
5400,2,1.379005472
5402.09232,2,1.987943805
5410,1.674025246,1.718968366
5405.582849,2,1.72109714
5404.302245,1.924210867,1.783349695
5401.674792,0.426436832,0.450950195
5401.36701,1.801507745,1.695125311
5410,2,1.6060036
5409.828344,1.103426306,0.433492925
5409.192026,1.822216175,1.661946033
5402.838425,1.861590751,2
5410,1.646591717,1.61314141
5407.786226,1.707441439,1.977206386
5410.770448,0.035817852,-0.036757318
5403.000196,1.263868871,0.765990106
5400,2,1.810594071
5400,1.426894952,1.742063391
5400,0.624767212,0
5403.647993,0.066009746,0.244568391
5410,1.721456431,1.982675038
5400,2,1.85529125
5400.937976,1.917473649,1.617291181
5405.182482,1.828931516,1.958834219
5407.354162,1.909709832,2
5400,0.563888065,0
5408.703319,1.717357767,1.691473539
5400,1.510792654,1.493029121
5400.139872,1.829532001,1.939280872
5400.861587,0.459896114,1.906788675
5400,0.49652178,0.034428461
5410,2,1.857410077
5400,1.592924581,1.844053148
5410,1.606011901,1.7793818
5400,1.653840847,1.753315182
5400,1.7767048,1.83652098
5410,0.195275443,0
5400,1.895210352,1.926305243
5410,1.601816508,1.632082535
5403.64262,1.820825847,0.80804476
5400,1.538484496,1.565988553
5410,0.28993114,0
5400,1.814442805,1.613897405
5410,1.70028057,1.74336693
5405.531613,1.369218251,1.479840396
5400,0.21200632,0
5400,1.710256466,1.751496399
5400,0,0.259067748
5403.899034,0.473247067,0.261202216
5399.407698,0.513105532,-0.157696496
5400,1.948561278,1.986313014
