Radio Frequency,Azimuth,Angle Of Elevation,Ground_Truth
5405.095332,1.786884496,1.641547149,Emitter_2
5410,0,0.156160202,Emitter_1
5400,1.384526209,1.951950486,Emitter_2
5402.385613,0.694084802,1.113964318,Noise
5405.186936,0.053895535,1.138421489,Noise
5400,1.628888719,1.836610444,Emitter_2
5407.869554,0.150632627,0.38232362,Emitter_1
5400.284297,0.329353933,0.455537553,Emitter_1
5410,1.660577643,1.599381784,Emitter_2
5400,1.975181636,1.612701291,Emitter_2
5400,1.713442378,1.776018009,Emitter_2
5401.147617,1.837222452,1.710561726,Emitter_2
5400,1.388626312,1.968725658,Emitter_2
5410,1.668820443,1.808709177,Emitter_2
5410,1.734682594,1.726980528,Emitter_2
5400,1.866192953,2,Emitter_2
5402.763556,1.152843796,1.718215585,Noise
5400.070211,1.817968816,1.846701121,Emitter_2
5407.716644,1.750142603,1.692991359,Emitter_2
5400,1.851349229,1.723487972,Emitter_2
5400,1.533227572,2,Emitter_2
5409.282771,1.859871275,1.863617989,Emitter_2
5400,2,1.409431117,Emitter_2
5400,1.832309814,1.736816577,Emitter_2
5400,1.733024463,1.819576592,Emitter_2
5409.203635,1.657045187,1.258032102,Noise
5400,1.853663314,1.759885827,Emitter_2
5400,1.989122451,2,Emitter_2
5406.3086,1.576224398,1.806542277,Emitter_2
5410,2,2,Emitter_2
5402.959395,0.50404175,0,Emitter_1
5400,1.843984298,1.600919182,Emitter_2
5404.979348,1.874902722,1.497971667,Emitter_2
5410,1.854244657,1.702628896,Emitter_2
5405.007544,1.536563909,1.119094948,Noise
5402.309344,0.666697657,0.494554765,Noise
5400,1.863550815,1.86733032,Emitter_2
5400.89184,1.70403105,1.680171034,Emitter_2
5400,1.393914587,1.919034954,Emitter_2
5409.252845,1.48471807,1.964994547,Noise
5402.71606,2,1.393255502,Emitter_2
5404.547186,0,0,Emitter_1
5401.909851,1.855667559,1.250236743,Noise
5400,1.501139266,2,Emitter_2
5408.540989,0.958547216,1.101054927,Noise
5408.07663,1.007443763,0.997769615,Noise
5400,1.661316358,1.762543478,Emitter_2
5400,0.384876665,0,Emitter_1
5400,2,1.707240546,Emitter_2
5410,1.492656836,1.648310751,Emitter_2
5400,1.679994787,1.984988136,Emitter_2
5401.958046,0.450391237,0,Emitter_1
5403.228417,0.63744062,0,Emitter_1
5400,1.746920848,1.89003629,Emitter_2
5400.191162,0.805226946,0.603955584,Noise
5407.684541,1.78935099,2,Emitter_2
5410,1.83647062,1.847038962,Emitter_2
5400,0.377951982,0,Emitter_1
5400,2,1.602413591,Emitter_2
5401.54045,1.200794549,0.893436474,Noise
5400,2,1.379005472,Emitter_2
5402.09232,2,1.987943805,Emitter_2
5410,1.674025246,1.718968366,Emitter_2
5405.582849,2,1.72109714,Emitter_2
5404.302245,1.924210867,1.783349695,Emitter_2
5401.674792,0.426436832,0.450950195,Noise
5401.36701,1.801507745,1.695125311,Emitter_2
5410,2,1.6060036,Emitter_2
5409.828344,1.103426306,0.433492925,Noise
5409.192026,1.822216175,1.661946033,Emitter_2
5402.838425,1.861590751,2,Emitter_2
5410,1.646591717,1.61314141,Emitter_2
5407.786226,1.707441439,1.977206386,Emitter_2
5410.770448,0.035817852,-0.036757318,Emitter_1
5403.000196,1.263868871,0.765990106,Noise
5400,2,1.810594071,Emitter_2
5400,1.426894952,1.742063391,Emitter_2
5400,0.624767212,0,Emitter_1
5403.647993,0.066009746,0.244568391,Emitter_1
5410,1.721456431,1.982675038,Emitter_2
5400,2,1.85529125,Emitter_2
